date,location,city,sector,DNBvalue1,DNBvalue3
2025-10-02,Sangster International Airport (MBJ),Montego Bay,Airport,30.194336,29.51
2025-10-02,Norman Manley International Airport (KIN),Kingston,Airport,141.84854,73.05
2025-10-02,Ian Fleming International Airport (OCJ),Boscobel,Airport,12.98958,8.97
2025-10-02,Ken Jones Aerodrome (Port Antonio),St. Margarets Bay,Airport,2.0320992,1.06
2025-10-02,Tinson Pen Aerodrome (KTP),Kingston,Airport,98.61703,72.75
2025-10-02,Negril Aerodrome (NEG),Orange Bay,Airport,2.5205152,7.03
2025-10-02,Up Park Camp Airport,Kingston,Airport,55.76601,71.17
2025-10-02,Moneague Training Camp Airport,Moneague,Airport,9.054888,6.94
2025-10-02,Kingston Harbour,Kingston,Port,4.003533,3.68
2025-10-02,Port of Montego Bay,Montego Bay,Port,30.33063,32.92
2025-10-02,Port Antonio,Port Antonio,Port,14.442463,11.16
2025-10-02,Port Esquivel,Port Esquivel,Port,19.745314,11.8
2025-10-02,Port Kaiser,Bull Savanna,Port,0.23557432,0.2
2025-10-02,Port Rhoades (Old Harbour),Discovery Bay,Port,7.811285,8.61
2025-10-02,Falmouth Port,Falmouth,Port,5.6468906,5.05
2025-10-02,Sandals Montego Bay,Montego Bay,Hotel,10.010797,11.43
2025-10-02,Excellence Oyster Bay,Falmouth,Hotel,7.0274243,4.74
2025-10-02,Hyatt Ziva Rose Hall,Montego Bay,Hotel,22.810608,13.25
2025-10-02,Jamaica Inn,Ocho Rios,Hotel,13.800705,11.05
2025-10-02,Half Moon,Montego Bay,Hotel,14.4840555,9.78
2025-10-02,Sandals Negril,Negril,Hotel,10.536169,7.88
2025-10-02,Sandals Ochi Beach,Ocho Rios,Hotel,24.61314,19.99
2025-10-02,Couples Swept Away,Negril,Hotel,2.7060025,6.75
2025-10-02,Couples San Souci,Ocho Rios,Hotel,2.4444942,3.86
2025-10-02,Tensing Pen Resort,Negril,Hotel,5.1852307,3.33
2025-10-02,Round Hill Hotel and Villas,Montego Bay,Hotel,6.6231236,5.17
2025-10-02,The Caves Hotel,Negril,Hotel,3.4113882,3.32
2025-10-02,Beaches Ocho Rios A Spa & Golf,Ocho Rios,Hotel,11.941034,8.53
2025-10-02,Sandals South Coast,,Hotel,15.6239,6.83
2025-10-02,Hotel Riu Montego Bay,Montego Bay,Hotel,56.06425,30.36
2025-10-02,Hotel Riu Negril,Negril,Hotel,4.9998746,2.89
2025-10-02,Hotel Riu Palace Tropical Bay,Negril,Hotel,8.437599,6.62
2025-10-02,"Royalton Negril, An Autograph Collection All-Inclusive Resort",Negril,Hotel,28.56844,8.76
2025-10-02,Moon Palace Jamaica All Inclusive Resort,Ocho Rios,Hotel,19.505766,25.95
2025-10-02,GoldenEye,Oracabessa,Hotel,4.769249,3.87
2025-10-02,Strawberry Hill,,Hotel,2.3346157,2.38
2025-10-02,Rockhouse Hotel,Negril,Hotel,4.857851,4.28
2025-10-02,Azul Beach Resort Negril by Karisma,Negril,Hotel,1.1781166,2.08
2025-10-02,Jewel Grande Montego Bay Resort & Spa,Montego Bay,Hotel,11.956389,8.06
2025-10-02,Breathless Montego Bay Resort & Spa,Montego Bay,Hotel,15.726067,13.46
2025-10-02,Bluefields Bay Villas & Suites,Bluefields,Hotel,3.0645285,2.91
2025-10-02,The Trident Hotel,Port Antonio,Hotel,4.165329,2.79
2025-10-02,Sea Coast Inn & Suites,,Hotel,0.8507482,1.66
2025-10-02,S Hotel Kingston,Kingston,Hotel,103.25885,90.07
2025-10-02,The Tryall Club,Montego Bay,Hotel,4.6979547,2.99
2025-10-02,Hedonism II All Inclusive Resort,Negril,Hotel,28.56844,8.76
2025-10-02,Idle Awhile Resorts,Negril,Hotel,4.708396,5.31
2025-10-02,Mayfair Hotel,Kingston,Hotel,53.616974,57.22
2025-10-02,Terra Nova All-Suite Hotel,Kingston,Hotel,53.686264,82.5
2025-10-02,Geejam Hotel,Port Antonio,Hotel,4.5006604,2.77
2025-10-02,The Jamaica Pegasus Hotel,Kingston,Hotel,112.81703,103.06
2025-10-02,The Mall,Kingston,Consumption,110.92456,93.04
2025-10-02,Manor Park Plaza,Kingston,Consumption,28.252079,27.18
2025-10-02,Southdale Plaza,Kingston,Consumption,53.686264,82.5
2025-10-02,Sovereign Village,Portmore,Consumption,49.791035,44.73
2025-10-02,Island Village Jamaica,Ocho Rios,Consumption,22.72782,22.21
2025-10-02,Whitter Village,Montego Bay,Consumption,56.06425,30.36
2025-10-02,Soni's Plaza,Ocho Rios,Consumption,44.39568,26.53
2025-10-02,Main Street Rose Hall,St.Bran's Burg,Consumption,14.956595,8.18
2025-10-02,HiLo Food Stores,Montego Bay,Supermarket,42.13175,38.12
2025-10-02,MegaMart Wholesale Club,Mandeville,Supermarket,44.02722,43.39
2025-10-02,Progressive Foods,Mandeville,Supermarket,62.432224,59.35
2025-10-02,Sampars Cash and Carry,Kingston,Supermarket,49.004627,60.53
2025-10-02,Shoppers Fair Supermarket,Portmore,Supermarket,10.114521,16.51
2025-10-02,Sovereign Supermarket,Kingston,Supermarket,51.605335,43.29
2025-10-02,Lees Food Fair Red Hills,Kingston,Supermarket,36.687603,45.66
2025-10-02,Loshusan Supermarket,Kingston,Supermarket,35.080948,39.65
2025-10-02,Brooklyn Supermarket,Kingston,Supermarket,114.20429,105.22
2025-10-02,Continental Enterprise Ltd,Kingston,Supermarket,54.457165,57.31
2025-10-02,General Foods Supermarket,Kingston,Supermarket,49.21836,46.97
2025-10-02,Hughenden Supermarket,Kingston,Supermarket,90.854614,99.19
2025-10-02,CPJ Market,Kingston,Supermarket,60.818855,57.94
2025-10-02,PriceSmart,Kingston,Supermarket,36.31319,33.54
2025-10-02,Select Grocers Supermarket,Kingston,Supermarket,28.252079,27.18
2025-10-02,Tropical Treasures Gift Shop,Montego Bay,Consumption,31.141994,21.3
2025-10-02,Sovereign Centre,Kingston,Consumption,51.605335,43.29
2025-10-02,76 RHR Business Centre,Kingston,Consumption,36.687603,45.66
2025-10-02,Barnett Tech Park,Montego Bay,Industrial,26.721443,29.16
2025-10-02,Caribbean HR Solutions,Montego Bay,Industrial,43.336422,40.72
2025-10-02,Kashic Consulting Limited: Business & Personal Support Services,Kingston,Industrial,73.69542,81.38
2025-10-02,Cazoumar (Cazoumar Free Zone),Montego Bay,Industrial,44.282288,41.24
2025-10-02,Kingston Free Zone,Kingston,Industrial,67.62579,73.81
2025-10-02,G-Tech Park-BPO Complex,Portmore,Industrial,49.641308,29.25
2025-10-02,MJS Industrial & Technology Park,Spanish Town,Industrial,7.254423,6.49
2025-10-02,West Indies Petroleum South Terminal Ltd,Kingston,Industrial,60.080437,66.55
2025-10-02,Kingston Wharves Limited,Kingston,Industrial,98.74905,100.4
2025-10-02,Associated Manufacturers Limited,Kingston,Industrial,73.54559,85.14
2025-10-02,Fusion BPO Services,Kingston,Industrial,103.25885,90.07
2025-10-02,Jamaica Ultimate Tyre Company Ltd,Kingston,Industrial,40.234264,55.07
2025-10-02,Omega Manufacturing Company Ltd,Kingston,Industrial,46.71089,42.33
2025-10-02,Jamaica Bedding Company Ltd,Old Harbour,Industrial,28.513746,24.42
2025-10-02,Packmart International Ltd,Kingston,Industrial,114.29289,109.89
2025-10-02,Crown Packaging Jamaica Ltd,Kingston,Industrial,64.72518,58.36
2025-10-02,Kingston Refinery (PetroJam & PDVSA),Kingston,Industrial,40.317715,218.57
2025-10-02,Appleton Estate,Claredon,Distillery,13.059302,12.94
2025-10-02,J Wray & Nephew,Spanish Town,Distillery,51.20466,59.97
2025-10-02,Worthy Park Estate,Lluidas Vale,Distillery,3.6629865,2.33
2025-10-02,Long Pond Distilles Ltd,Clark's Town,Distillery,5.5544825,2.85
2025-10-02,Bob Marley Museum,Kingston,Cultural,60.818855,57.94
2025-10-02,Port Royal,Port Royal,Cultural,6.7262087,12.4
2025-10-02,Devon House,Kingston,Cultural,90.49074,77.88
2025-10-02,National Gallery of Jamaica,Kingston,Cultural,69.65407,51.23
2025-10-02,Seville Great House,Priory,Cultural,14.745188,10.58
2025-10-02,Rastafari Indigenous Village,Montego Bay,Cultural,8.316927,9.91
2025-10-02,Trench Town Culture Yard Museum,Kingston,Cultural,43.37026,54.66
2025-10-02,Sam Sharpe Square,Montego Bay,Cultural,46.125362,36.72
2025-10-02,Fort Charles (Port Royal),Port Royal,Cultural,22.849245,14.15
2025-10-02,Fort Montego,Montego Bay,Cultural,35.201233,25.34
2025-10-02,Lovers Leap Lighthouse,,Cultural,2.6630723,3.03
2025-10-03,Sangster International Airport (MBJ),Montego Bay,Airport,30.194336,23.78
2025-10-03,Norman Manley International Airport (KIN),Kingston,Airport,33.461605,31.0
2025-10-03,Ian Fleming International Airport (OCJ),Boscobel,Airport,10.711053,10.47
2025-10-03,Ken Jones Aerodrome (Port Antonio),St. Margarets Bay,Airport,2.8122706,1.29
2025-10-03,Tinson Pen Aerodrome (KTP),Kingston,Airport,63.352768,140.08
2025-10-03,Negril Aerodrome (NEG),Orange Bay,Airport,16.4255,8.64
2025-10-03,Up Park Camp Airport,Kingston,Airport,68.83148,59.21
2025-10-03,Moneague Training Camp Airport,Moneague,Airport,8.545847,7.75
2025-10-03,Kingston Harbour,Kingston,Port,3.1985588,2.9
2025-10-03,Port of Montego Bay,Montego Bay,Port,37.97294,28.15
2025-10-03,Port Antonio,Port Antonio,Port,11.181812,9.96
2025-10-03,Port Esquivel,Port Esquivel,Port,8.065501,9.82
2025-10-03,Port Kaiser,Bull Savanna,Port,0.23557432,0.2
2025-10-03,Port Rhoades (Old Harbour),Discovery Bay,Port,5.8379374,5.15
2025-10-03,Falmouth Port,Falmouth,Port,3.781766,6.97
2025-10-03,Sandals Montego Bay,Montego Bay,Hotel,10.010797,8.95
2025-10-03,Excellence Oyster Bay,Falmouth,Hotel,4.5106015,3.12
2025-10-03,Hyatt Ziva Rose Hall,Montego Bay,Hotel,20.551752,13.58
2025-10-03,Jamaica Inn,Ocho Rios,Hotel,17.401537,13.17
2025-10-03,Half Moon,Montego Bay,Hotel,9.532317,7.88
2025-10-03,Sandals Negril,Negril,Hotel,6.4934673,6.58
2025-10-03,Sandals Ochi Beach,Ocho Rios,Hotel,24.219732,21.76
2025-10-03,Couples Swept Away,Negril,Hotel,23.43846,12.26
2025-10-03,Couples San Souci,Ocho Rios,Hotel,3.5275617,5.81
2025-10-03,Tensing Pen Resort,Negril,Hotel,9.087043,3.62
2025-10-03,Round Hill Hotel and Villas,Montego Bay,Hotel,3.725943,4.67
2025-10-03,The Caves Hotel,Negril,Hotel,1.6860083,3.23
2025-10-03,Beaches Ocho Rios A Spa & Golf,Ocho Rios,Hotel,11.941034,9.25
2025-10-03,Sandals South Coast,,Hotel,16.635645,7.29
2025-10-03,Hotel Riu Montego Bay,Montego Bay,Hotel,38.47321,25.08
2025-10-03,Hotel Riu Negril,Negril,Hotel,3.985899,2.44
2025-10-03,Hotel Riu Palace Tropical Bay,Negril,Hotel,16.44405,8.57
2025-10-03,"Royalton Negril, An Autograph Collection All-Inclusive Resort",Negril,Hotel,15.385011,9.51
2025-10-03,Moon Palace Jamaica All Inclusive Resort,Ocho Rios,Hotel,50.19661,42.03
2025-10-03,GoldenEye,Oracabessa,Hotel,7.500777,3.65
2025-10-03,Strawberry Hill,,Hotel,2.951161,2.32
2025-10-03,Rockhouse Hotel,Negril,Hotel,2.6565952,3.59
2025-10-03,Azul Beach Resort Negril by Karisma,Negril,Hotel,3.127506,2.69
2025-10-03,Jewel Grande Montego Bay Resort & Spa,Montego Bay,Hotel,7.0146503,10.1
2025-10-03,Breathless Montego Bay Resort & Spa,Montego Bay,Hotel,10.046976,9.7
2025-10-03,Bluefields Bay Villas & Suites,Bluefields,Hotel,1.5633483,2.69
2025-10-03,The Trident Hotel,Port Antonio,Hotel,6.6519456,3.42
2025-10-03,Sea Coast Inn & Suites,,Hotel,0.8507482,1.66
2025-10-03,S Hotel Kingston,Kingston,Hotel,95.86946,82.52
2025-10-03,The Tryall Club,Montego Bay,Hotel,3.9559543,2.27
2025-10-03,Hedonism II All Inclusive Resort,Negril,Hotel,15.385011,9.51
2025-10-03,Idle Awhile Resorts,Negril,Hotel,7.2142816,4.74
2025-10-03,Mayfair Hotel,Kingston,Hotel,57.35051,49.92
