date,gtrends_hotels_kingston_worldwide,gtrends_island_grill_jamaica,gtrends_pizza_hut_jamaica,gtrends_crave_jamaica,gtrends_uber_eats_jamaica,gtrends_doordash_jamaica,gtrends_samsung_jamaica,gtrends_apple_jamaica,gtrends_pricesmart_jamaica,gtrends_shoppers_fair_jamaica,gtrends_maxie_jamaica,gtrends_flights_kingston_worldwide,gtrends_amazon_jamaica,gtrends_macy_s_jamaica,gtrends_shein_jamaica,gtrends_bob_marley_museum_jamaica,gtrends_restaurants_jamaica,gtrends_ncb_jamaica,gtrends_scotiabank_jamaica,gtrends_jmmb_jamaica,gtrends_citi_jamaica,gtrends_jn_bank_jamaica,gtrends_jamaica_flights_worldwide,gtrends_sagicor_jamaica,gtrends_credit_cards_jamaica,gtrends_honda_jamaica,gtrends_jacars_net_jamaica,gtrends_toyota_jamaica_jamaica,gtrends_montego_bay_jamaica,gtrends_ocho_rios_jamaica,gtrends_blue_mountains_jamaica,gtrends_treasure_beach_jamaica,gtrends_montego_bay_resorts_jamaica_worldwide,gtrends_jamaica_flights_jamaica,gtrends_toyota_jamaica,gtrends_linkedin_jamaica,gtrends_caribbeanjobs_com_jamaica,gtrends_kfc_jamaica,gtrends_burger_king_jamaica,gtrends_airbnb_jamaica_worldwide
2004-01-01,45,0,0,0,0,0,34,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,54,0,0,63,0,0,0,0,0,0,0,0,65,0,0,0,0,0
2004-02-01,60,100,0,0,0,0,43,62,0,0,0,28,0,0,0,0,0,0,0,0,0,0,45,0,0,74,0,0,0,0,0,0,0,0,67,0,0,0,0,0
2004-03-01,72,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
2004-04-01,54,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,48,0,0,36,0,0,0,0,0,83,0,0,0,0,0
2004-05-01,66,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,98,0,0,0,0,0,0,0,0,71,0,0,0,0,0
2004-06-01,65,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,85,0,0,0,0,0,0,0,0,51,0,0,0,0,0
2004-07-01,100,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,77,0,0,0,0,0,0,0,0,66,0,0,0,0,0
2004-08-01,64,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,100,0,0,0,0,0,0,0,0,74,0,0,0,0,0
2004-09-01,66,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,96,0,0,0,0,0,0,0,100,55,0,0,0,0,0
2004-10-01,43,0,0,0,0,0,40,0,0,0,0,16,0,0,0,0,0,20,0,0,0,0,37,0,0,81,0,0,0,0,0,0,0,0,67,0,0,0,0,0
2004-11-01,50,0,0,0,0,0,41,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,41,49,0,62,0,0,17,0,0,0,0,0,52,0,0,0,0,0
2004-12-01,33,0,0,0,0,0,30,0,0,0,0,0,11,0,0,0,0,21,0,0,0,0,32,0,0,48,0,0,0,0,0,0,0,0,66,0,0,0,0,0
